"STATION","NAME","DATE","DAPR","MDPR","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WESD","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT21","WV03","WV07","WV20"
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-01",,,"0.00","   74","0.0","0.0",,"68","45",,"  444",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-02",,,"0.00","  100","0.0","0.0",,"70","42",,"  600",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-03",,,"0.00","   83","0.0","0.0",,"67","45",,"  498",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-04",,,"0.00","   97","0.0","0.0",,"70","41",,"  582",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-05",,,"0.00","   87","0.0","0.0",,"70","39",,"  528",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-06",,,"0.00","   36","0.0","0.0",,"67","44",,"  216",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-07",,,"0.00","   41","0.0","0.0",,"65","49",,"  246",,,,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-08",,,"0.00","   62","0.0","0.0",,"67","50",,"  372",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-09",,,"0.30","    0","0.0","0.0",,"58","52",,"    0",,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-10",,,"0.00","    7","0.0","0.0",,"62","54",,"   42",,,,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-11",,,"0.25","    0","0.0","0.0",,"62","55",,"    0",,,,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-12",,,"0.00","   19","0.0","0.0",,"67","55",,"  120",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-13",,,"0.00","   81","0.0","0.0",,"73","55",,"  492",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-14",,,"0.00","   13","0.0","0.0",,"66","55",,"   78",,,,,,,,"    1",,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-15",,,"0.00","   74","0.0","0.0",,"67","51",,"  450",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-16",,,"0.00","   96","0.0","0.0",,"69","46",,"  588",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-17",,,"0.00","   69","0.0","0.0",,"67","45",,"  420",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-18",,,"0.51","   32","0.0","0.0",,"65","49",,"  198",,,,"    1",,"    1",,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-19",,,"0.02","    9","0.0","0.0",,"55","46",,"   54",,,,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-20",,,"0.04","  100","0.0","0.0",,"63","41",,"  618",,,,"    1",,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-21",,,"0.25","    8","0.0","0.0",,"60","48",,"   48",,,,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-22",,,"0.00","   51","0.0","0.0",,"62","43",,"  318",,"    1","    1",,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-23",,,"0.00","  100","0.0","0.0",,"65","44",,"  624",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-24",,,"0.00","  100","0.0","0.0",,"67","38",,"  624",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-25",,,"0.00","  100","0.0","0.0",,"66","40",,"  624",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-26",,,"0.00","  100","0.0","0.0",,"68","40",,"  624",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-27",,,"0.00","   93","0.0","0.0",,"69","43",,"  582",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-28",,,"0.00","   42","0.0","0.0",,"64","51",,"  264",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-29",,,"0.14","    0","0.0","0.0",,"61","53",,"    0",,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-30",,,"0.07","   10","0.0","0.0",,"66","56",,"   60",,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-01-31",,,"0.00","   85","0.0","0.0",,"75","52",,"  540",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-01",,,"0.00","   96","0.0","0.0",,"75","54",,"  612",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-02",,,"0.00","  100","0.0","0.0",,"77","50",,"  636",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-03",,,"0.00","   97","0.0","0.0",,"79","49",,"  618",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-04",,,"0.00","   89","0.0","0.0",,"77","49",,"  570",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-05",,,"0.00","   95","0.0","0.0",,"80","50",,"  612",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-06",,,"0.00","   60","0.0","0.0",,"74","54",,"  390",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-07",,,"0.00","   97","0.0","0.0",,"65","48",,"  624",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-08",,,"0.00","   11","0.0","0.0",,"61","47",,"   72",,,,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-09",,,"0.00","  100","0.0","0.0",,"62","42",,"  648",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-10",,,"0.00","  100","0.0","0.0",,"66","35",,"  654",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-11",,,"0.00","  100","0.0","0.0",,"68","42",,"  654",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-12",,,"0.00","  100","0.0","0.0",,"71","43",,"  654",,,,,,,,,,,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-13",,,"0.25","    3","0.0","0.0",,"59","51",,"   18",,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-14",,,"0.16","   24","0.0","0.0",,"72","57",,"  162",,,,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-15",,,"0.79","   18","0.0","0.0",,"65","53",,"  120",,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-16",,,"0.06","   33","0.0","0.0",,"65","51",,"  222",,,,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-17",,,"0.24","   31","0.0","0.0",,"69","53",,"  210",,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-18",,,"0.02","    4","0.0","0.0",,"68","57",,"   30",,,,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-19",,,"0.48","    4","0.0","0.0",,"71","55",,"   30",,,,"    1",,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-20",,,"0.01","   36","0.0","0.0",,"66","53",,"  246",,,,,,,,,,,,,,"    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","1980-02-21",,,"0.08","    3","0.0","0.0",,"65","53",,"   18",,,,,,,,,,,,,,"    1",,,,,
